crd,subsidiaries
41139,146153
24332,135284
24332,108679
165753,106189
165753,37059
23189,109138
23189,108783
23714,127473
1711,15733
1711,102040
1711,102920
1711,17116
1711,18718
1711,47268
1711,25574
1711,18472
1711,20989
1711,1326
131920,159283
153794,166751
289846,309266
43100,143597
43100,161684
43100,289358
43100,25567
43100,104559
43100,149003
43100,154957
43100,111925
43100,612
43100,133358
281933,159014
281933,155006
281933,161605
39256,152688
39256,142333
39256,140432
39256,138297
39256,133792
39256,121468
39256,137028
39256,110427
39256,110441
39256,14470
39256,107689
39256,110632
39256,133370
39256,110619
39256,110783
39256,110452
39256,139012
39256,110909
15387,119537
15387,153777
15387,133084
15387,17053
15387,7059
31230,41087
31230,120444
7036,16517
19949,106973
19949,111876
19949,105771
19949,105644
19949,13349
19949,32087
19949,105297
19949,10465
19949,10358
19949,105560
121056,119897
31150,106753
31150,5393
106464,104437
29722,140944
18697,285648
18697,10299
18697,15340
18697,13572
18697,10358
18697,105644
18697,165436
18697,32444
18697,137888
18697,34643
18697,109485
18697,14503
30770,134742
30770,182513
30770,283102
30770,288442
30770,141391
130745,306760
130745,103848
130745,15883
130745,173734
130745,148477
130745,172662
130745,172663
130745,118787
130745,103934
130745,35682
130745,147382
130745,150987
130745,31334
130745,143809
130745,45943
130745,13494
130745,15634
130745,30016
130745,7174
130745,46106
22688,17079
22688,142108
144583,137442
103857,283466
103857,139987
13941,105960
164289,291950
32034,137999
32034,137874
120,145420
120,28218
120,793
169135,283430
115929,106236
127434,37484
37791,104228
37791,38379
37791,38599
37791,35479
154377,138401
171058,135898
142784,143108
5247,38455
5247,47954
5247,29299
5247,47867
45294,13906
45294,44523
45294,2692
45294,5393
23367,36537
23367,38339
23367,29244
23367,37466
23367,15634
23367,30188
23367,35746
23367,36268
23367,19541
23367,35773
23367,37465
23367,26501
23367,22229
23367,29693
23367,37059
23367,30016
23367,7174
23367,5861
166180,39262
41692,107676
41692,111659
41692,107817
41692,7172
41692,105075
41692,105006
41692,2525
41692,754
41692,37306
41692,109112
41692,104518
284648,293769
159283,282085
159283,103976
159283,288933
45141,127840
14536,665
14536,103848
14536,17868
153152,149329
19662,300359
19662,291690
19662,161293
19662,161045
19662,150900
19662,168796
19662,305708
19662,304307
19662,304477
19662,160980
19662,160114
19662,292459
19662,296294
19662,288053
19662,36509
19662,158744
19662,289751
19662,290012
19662,289550
19662,289202
19662,154425
19662,17917
19662,120934
19662,284464
19662,175228
19662,46585
19662,108260
19662,171640
19662,292280
19662,292449
19662,292450
19662,288050
19662,296116
19662,292552
19662,170801
19662,226598
19662,165796
19662,165782
19662,167263
19662,160080
19662,160157
19662,158784
19662,152294
19662,148943
19662,144537
19662,137519
19662,146043
19662,142979
19662,142922
19662,138208
19662,136979
19662,135952
19662,134009
19662,111871
19662,120936
19662,114716
19662,109106
19662,109099
19662,282791
19662,107580
19662,41924
19662,109120
19662,103787
19662,42759
125437,35371
153502,151243
153502,130610
153502,143161
153502,143158
155765,122225
6220,110760
6220,17587
132031,105742
132031,36118
132031,128351
132031,107085
132031,106564
132031,106546
132031,16670
132031,131967
132031,104571
28832,126925
28832,104652
28832,119232
40964,122046
40964,108907
40964,105655
104447,109451
116931,37055
37733,39631
37733,42890
37733,24399
37733,25025
44266,134934
126924,108763
40823,130243
40823,109868
37666,106809
45113,44731
7471,136274
7471,129752
7471,40596
7471,127733
7471,19616
7471,21570
7471,17344
7471,11025
7471,18353
7471,5685
24181,122450
20627,122684
4082,143668
4082,142373
4082,141445
4082,109391
4082,109383
4082,109367
4082,25910
4082,7110
4082,11173
128929,12963
103849,173455
103849,104966
103849,159035
103849,5393
103849,106753
119586,47397
28305,6292
281918,132201
37942,135613
37942,114894
37942,130569
44057,168490
44057,281337
44057,149280
44057,105646
44057,111320
44057,110264
44057,137115
44057,16686
44057,106466
152514,110921
102620,33019
102620,35413
102620,141724
102620,134284
102620,121705
102620,120636
102620,45914
102620,100820
102620,101900
102620,113728
102620,103917
18446,19178
42108,4138
42108,136462
42108,148116
104609,114556
30200,4806
30200,20804
30200,4452
30200,12969
6578,10645
6578,144426
45976,169381
45976,122884
287900,165998
129914,31256
129914,124674
129914,124845
487,133068
487,133366
487,106487
487,104973
487,110841
487,132377
487,133204
487,126292
487,11025
487,19616
16878,133378
16878,110364
38449,168493
38449,110473
38449,116605
42071,124790
42071,147732
42071,134585
42071,135981
42071,35479
42071,38379
42071,102580
42071,135924
42071,38599
147257,8258
147257,165822
147257,154725
147257,156932
147257,157070
147257,148024
147257,154410
147257,154003
147257,120632
147257,36478
285406,288894
37579,104581
147298,150897
147298,106336
27884,132796
27884,13594
27884,145421
27884,332
24377,15648
24377,26989
171810,126588
171810,291791
150113,154008
118790,126935
118790,35032
2762,28196
2762,27369
2762,19739
36991,108695
36991,119721
36991,39414
36991,47268
36991,17454
36991,44645
36991,42430
29767,155667
104050,108240
29275,166700
18749,106393
131986,286466
130710,137713
25816,138116
25816,123809
122924,106008
122924,113887
27314,285480
27314,173876
27314,134436
27314,128066
27314,111883
27314,154572
27314,130758
27314,164420
27314,161631
27314,110091
27314,153425
27314,104543
27314,121942
27314,109421
27314,130949
27314,154475
27314,121591
27314,135829
27314,132694
27314,131106
27314,153456
27314,107545
27314,106274
27314,115119
27314,6857
27314,106146
27314,105916
27314,106698
145871,115150
137115,168490
137115,105646
137115,281337
137115,149280
137115,111320
137115,16686
137115,110264
137115,106466
137115,44057
129376,15650
125472,109930
150160,156771
121447,131563
168356,161671
20068,133763
20068,5435
20068,13626
20068,42803
20068,37449
20068,146
20068,21774
20068,5967
20068,7461
20068,23131
20068,10249
20068,10232
20068,13158
15776,112219
15776,39550
15776,105260
15776,109399
15776,117302
15776,37216
15776,41791
15776,118936
15776,11707
15776,131165
19169,160672
18272,109524
18272,100460
148495,42405
148495,11085
148495,104880
148495,148399
148495,139006
148495,131622
148495,138758
147292,154368
147292,150503
147292,46300
147292,138117
10012,126021
41436,28832
41436,105125
894,152620
143380,294105
143380,172011
15960,143529
21613,16190
21613,21210
126963,123434
40633,281165
469,283081
469,175092
469,20472
469,104554
469,160255
469,108580
469,107157
469,107168
469,134392
469,155584
469,106940
469,138123
469,121876
469,110687
469,104626
125968,132824
43244,115231
40805,160778
40805,158538
40805,115368
40805,159397
40805,160181
40805,158012
40805,129288
40805,40638
40805,108263
40805,107574
40805,30096
40805,118697
40805,119475
40805,137432
40805,135424
40805,142117
40805,39805
40805,105477
40805,3336
298660,112747
17507,301896
17507,299736
17507,288590
17507,171752
17507,168741
17507,148239
17507,148045
17507,133196
17507,115324
17507,7784
17507,108273
17507,108281
17507,104555
17507,13041
286268,174167
286268,132197
154376,138524
156936,107619
156936,36155
43649,7270
8127,14416
8127,5496
8127,31052
8127,7395
136102,135287
11826,299280
36427,43882
36427,10582
36427,345
36427,13686
36427,34633
36427,5958
36427,7665
36427,16100
36427,17525
36427,32444
25988,136131
41101,37791
41101,45032
41101,35479
112033,159233
112033,38357
112033,111297
173273,133164
297029,306524
45936,282416
152920,297739
152920,170303
152920,112551
37216,41791
127858,283338
127858,163576
37466,109771
37466,10674
47363,161498
47363,121767
47363,867
47363,2347
32458,149760
32458,114924
23928,166028
139760,155860
139760,167331
139760,162888
139760,124506
139760,110596
139760,110590
10582,152884
10582,147930
10582,19616
10582,132377
10582,110667
10582,131539
10582,112660
10582,107469
10582,133204
10582,133333
10582,126292
10582,487
10582,104594
10582,35419
10582,11025
10582,107923
10582,17344
10582,116407
10582,130139
10582,104556
10582,123513
10582,113624
10582,133366
10582,106487
10582,104973
10582,110841
10582,105423
10582,110052
10582,13686
10582,5958
10582,16100
612,143597
612,289358
612,161684
612,154957
612,149003
612,111925
612,25567
612,104559
132938,169439
132938,114527
132938,40178
132938,120270
132938,111079
132938,16443
132938,12984
132938,107269
132938,2225
132938,29604
143809,306760
143809,103848
143809,15883
143809,173734
143809,148477
143809,172662
143809,172663
143809,118787
143809,103934
143809,35682
143809,147382
143809,150987
143809,31334
143809,13494
143809,15634
143809,45943
143809,30016
143809,7174
143809,130745
143809,46106
174708,174030
37027,22067
107622,142463
107622,285684
17531,107328
17531,110613
17531,106909
17531,106484
17531,111818
44785,42666
44785,14343
36379,124971
300679,147763
115405,122494
115405,121783
115405,120789
115405,120570
115405,22589
115405,119003
115405,117736
115405,113515
115405,111902
115405,15296
115405,47086
8060,40077
8327,17587
8327,6220
8327,107919
14997,110965
14997,298
157249,157960
39468,284486
