firmId,Date Initiated_yr,Reporting Source
4,2008.0,6
4,2009.0,1
25,2018.0,2
48,2009.0,2
61,2010.0,2
61,2011.0,2
61,2014.0,2
61,2017.0,2
120,2008.0,1
134,2009.0,8
134,2010.0,3
134,2011.0,6
134,2012.0,4
134,2013.0,4
134,2014.0,3
134,2015.0,8
134,2016.0,2
134,2017.0,3
134,2018.0,4
134,2019.0,4
134,2020.0,2
146,2009.0,2
164,2010.0,2
164,2015.0,2
190,2007.0,1
190,2008.0,1
190,2010.0,3
190,2011.0,2
190,2012.0,3
190,2013.0,1
190,2015.0,2
193,2007.0,2
193,2008.0,2
193,2009.0,2
193,2011.0,2
193,2012.0,2
193,2014.0,1
193,2016.0,1
199,2006.0,1
199,2007.0,1
199,2008.0,1
199,2009.0,3
199,2010.0,1
199,2011.0,1
199,2012.0,2
199,2014.0,1
199,2015.0,3
199,2018.0,2
199,2019.0,2
199,2020.0,2
205,2008.0,6
205,2009.0,4
205,2012.0,1
231,2010.0,2
231,2013.0,1
231,2018.0,1
249,2006.0,1
249,2007.0,3
249,2008.0,8
249,2009.0,2
249,2010.0,2
249,2011.0,2
249,2012.0,2
249,2013.0,10
249,2014.0,4
249,2015.0,12
249,2016.0,8
249,2017.0,2
249,2019.0,4
250,2006.0,1
250,2007.0,1
250,2008.0,2
250,2009.0,2
250,2010.0,2
250,2012.0,4
250,2013.0,2
250,2014.0,6
250,2015.0,8
250,2016.0,1
250,2017.0,6
250,2019.0,2
265,2011.0,1
265,2012.0,2
266,2008.0,2
266,2009.0,2
266,2011.0,1
266,2012.0,1
266,2013.0,1
266,2016.0,1
285,2008.0,4
298,2007.0,1
298,2013.0,1
316,2008.0,2
316,2009.0,3
316,2010.0,2
316,2013.0,4
316,2015.0,2
319,2011.0,2
329,2010.0,2
329,2011.0,2
361,2008.0,8
361,2009.0,3
361,2010.0,7
361,2011.0,3
361,2012.0,4
361,2013.0,4
361,2014.0,8
361,2015.0,1
361,2016.0,3
361,2017.0,3
361,2019.0,2
375,2008.0,2
421,2008.0,2
421,2011.0,2
421,2012.0,2
421,2013.0,2
421,2015.0,2
421,2017.0,4
421,2018.0,2
421,2019.0,2
422,2011.0,2
453,2009.0,6
453,2011.0,2
453,2012.0,2
453,2016.0,4
463,2009.0,1
463,2010.0,4
463,2011.0,4
463,2012.0,5
463,2015.0,4
468,2012.0,1
468,2015.0,1
469,2011.0,1
481,2011.0,2
481,2013.0,2
481,2014.0,2
505,2009.0,2
505,2011.0,2
505,2017.0,2
519,2008.0,1
519,2009.0,1
519,2016.0,2
519,2018.0,4
566,2007.0,1
566,2008.0,2
566,2009.0,2
566,2010.0,4
566,2012.0,4
566,2013.0,4
566,2016.0,2
566,2017.0,2
594,2007.0,2
594,2010.0,2
594,2011.0,4
594,2012.0,2
594,2013.0,2
594,2020.0,1
599,2008.0,2
599,2009.0,1
611,2016.0,1
612,2017.0,2
615,2006.0,1
615,2008.0,1
615,2009.0,2
628,2008.0,2
628,2009.0,4
628,2010.0,2
628,2011.0,3
628,2012.0,2
628,2013.0,4
628,2015.0,2
628,2016.0,2
628,2018.0,2
630,2007.0,2
630,2008.0,4
630,2009.0,8
630,2010.0,4
630,2012.0,2
630,2013.0,2
665,2007.0,2
665,2008.0,7
665,2009.0,2
665,2010.0,2
665,2011.0,2
665,2012.0,2
665,2014.0,4
665,2015.0,2
665,2016.0,2
705,2008.0,4
705,2009.0,1
705,2010.0,4
705,2011.0,6
705,2012.0,2
705,2013.0,10
705,2014.0,4
705,2015.0,2
705,2016.0,10
705,2017.0,2
705,2019.0,2
713,2016.0,2
728,2009.0,1
759,2014.0,2
791,2008.0,6
791,2009.0,2
791,2011.0,4
791,2012.0,8
791,2013.0,4
791,2015.0,4
791,2016.0,2
791,2017.0,4
793,2007.0,5
793,2009.0,2
793,2010.0,4
793,2012.0,4
793,2013.0,8
793,2014.0,15
793,2015.0,5
793,2016.0,6
793,2017.0,2
793,2018.0,8
793,2020.0,2
795,2009.0,2
795,2012.0,2
833,2006.0,1
866,2013.0,2
867,2010.0,2
867,2012.0,2
867,2016.0,1
867,2017.0,1
867,2019.0,1
875,2011.0,2
875,2020.0,2
908,2011.0,2
1020,2008.0,2
1020,2009.0,2
1020,2011.0,4
1020,2012.0,6
1020,2013.0,2
1020,2014.0,2
1020,2015.0,11
1020,2016.0,10
1020,2017.0,4
1020,2019.0,2
1027,2011.0,1
1027,2014.0,2
1027,2016.0,1
1042,2011.0,2
1101,2005.0,1
1101,2007.0,1
1101,2010.0,2
1101,2012.0,6
1137,2012.0,2
1137,2015.0,2
1137,2016.0,4
1137,2017.0,2
1175,2010.0,2
1248,2007.0,2
1248,2008.0,2
1248,2013.0,2
1249,2008.0,4
1252,2007.0,1
1252,2010.0,4
1252,2013.0,2
1252,2015.0,2
1252,2016.0,2
1252,2017.0,4
1254,2008.0,2
1404,2008.0,2
1404,2009.0,4
1459,2009.0,4
1459,2011.0,4
1511,2007.0,1
1511,2008.0,1
1576,2008.0,2
1576,2010.0,4
1576,2013.0,4
1576,2015.0,1
1576,2017.0,1
1588,2011.0,2
1588,2016.0,2
1588,2017.0,2
1742,2007.0,2
1763,2008.0,2
1763,2009.0,2
1763,2011.0,2
1763,2015.0,4
1763,2017.0,2
1763,2018.0,2
1781,2009.0,2
1781,2010.0,2
1794,2011.0,2
1794,2013.0,1
1834,2012.0,2
1845,2009.0,1
1845,2010.0,1
1845,2016.0,1
1845,2020.0,1
1895,2007.0,2
1914,2007.0,1
1914,2008.0,1
1914,2010.0,2
1914,2011.0,2
1914,2016.0,2
1914,2017.0,2
2002,2008.0,2
2091,2009.0,1
2091,2011.0,1
2148,2007.0,1
2202,2008.0,4
2225,2017.0,1
2225,2018.0,1
2240,2009.0,1
2240,2010.0,1
2240,2011.0,2
2240,2013.0,2
2240,2014.0,1
2261,2011.0,2
2288,2010.0,2
2347,2007.0,2
2347,2008.0,4
2347,2010.0,2
2347,2011.0,6
2347,2012.0,8
2347,2013.0,4
2347,2014.0,2
2347,2016.0,4
2347,2017.0,4
2347,2018.0,2
2347,2019.0,1
2440,2010.0,2
2498,2013.0,4
2498,2015.0,2
2525,2007.0,6
2525,2008.0,4
2525,2009.0,4
2525,2010.0,4
2525,2011.0,3
2525,2012.0,12
2525,2013.0,10
2525,2014.0,12
2525,2015.0,7
2525,2016.0,16
2525,2017.0,6
2525,2018.0,4
2543,2011.0,2
2543,2012.0,4
2543,2014.0,1
2543,2015.0,2
2543,2017.0,2
2764,2008.0,2
2764,2009.0,3
2764,2010.0,2
2764,2013.0,1
2764,2014.0,2
2764,2015.0,2
2764,2016.0,2
2764,2018.0,2
2811,2009.0,2
2811,2013.0,2
2881,2009.0,2
2881,2020.0,2
2908,2007.0,1
2908,2008.0,2
2908,2009.0,2
2908,2010.0,8
2908,2011.0,2
2908,2012.0,6
2936,2007.0,1
2936,2008.0,1
3001,2016.0,2
3255,2006.0,1
3255,2007.0,1
3255,2008.0,1
3255,2011.0,1
3336,2016.0,2
3429,2011.0,1
3441,2011.0,2
3466,2007.0,2
3466,2008.0,2
3466,2009.0,2
3466,2010.0,5
3466,2013.0,2
3466,2014.0,5
3466,2015.0,1
3496,2011.0,2
3496,2012.0,5
3496,2013.0,2
3496,2015.0,2
3496,2016.0,4
3538,2009.0,2
3538,2013.0,2
3546,2010.0,2
3546,2013.0,2
3603,2017.0,1
3618,2010.0,2
3618,2011.0,1
3618,2012.0,1
3767,2010.0,2
3767,2015.0,2
3777,2007.0,2
3777,2010.0,4
3777,2012.0,2
3777,2013.0,6
3777,2014.0,2
3777,2016.0,4
3777,2017.0,4
3777,2019.0,2
3798,2014.0,1
3866,2011.0,2
3866,2012.0,2
3870,2011.0,1
3870,2012.0,3
3870,2016.0,2
3875,2017.0,2
3978,2011.0,1
3978,2015.0,4
3989,2013.0,2
4031,2012.0,2
4031,2017.0,2
4173,2014.0,2
4173,2015.0,2
4297,2007.0,1
4297,2009.0,2
